steamid,num_games_owned,playtime_forever
76561199520266623,10,1441
76561198449735864,25,48491
76561199089000636,38,3129
76561199070768458,94,4202
76561198943276235,23,722
76561198866744422,9,2132
76561199110900207,61,4879
76561198134214879,61,4388
76561198113017858,269,15717
76561198065356816,153,5267
76561198333375074,149,335
76561199055869155,20,18091
76561199365821152,3,1184
76561198074874470,969,6046
76561199176603733,4,2033
76561198351993003,27,1716
76561199079427566,8,1220
76561198047534313,21,1795
76561198281862646,104,6431
76561199221104410,14,1119
76561198994158144,5,17647
76561198967780599,98,50905
76561198355262593,16,12091
76561199550119094,35,11672
76561199133426965,29,2033
76561199082351485,10,2307
76561198033429940,77,3256
76561199166915163,6,15179
76561198384211417,16,13991
76561198264232069,119,22496
76561199080301535,37,53539
76561198102888621,260,53290
76561198992720241,32,3230
76561199402876936,18,5783
76561199231184801,28,2340
76561199121609019,23,8416
76561198448648511,39,9718
76561198329756359,46,306
76561198095276501,49,4125
76561199207941130,18,28924
76561199190273316,0,3798
76561199076231456,10,30224
76561199134325181,4,5986
76561198072024886,237,42078
76561198262918172,29,19339
76561198848731102,7,568
76561198153297302,116,8077
76561199229744332,25,21773
76561199076113264,22,3933
76561199095663103,3,35685
76561198078083130,154,6737
76561199486747507,5,2839
76561199114509726,20,5008
76561199097666318,19,33974
76561199143683019,43,22991
76561198971954089,35,526
76561198117712067,190,49813
76561199375658184,6,977
76561198308702618,5,18432
76561199080863631,36,3354
76561199235283364,5,1611
76561198941450501,26,11818
76561198063472516,165,2583
76561198338169446,17,3100
76561199135160027,34,2693
76561199514348115,9,5691
76561198334150933,35,968
76561198875393358,10,9271
76561199048520474,17,20962
76561199081155575,4,2480
76561198267496240,29,3926
76561198033907373,136,7719
76561199023717604,42,3257
76561198205332212,200,24734
76561198324491618,142,3397
76561199123020786,10,697
76561198802435063,10,71378
76561198972791671,15,45709
76561198919831312,11,232
76561198106884952,76,2006
76561199445250078,15,3524
76561199225262138,4,3233
76561199091703078,15,5118
76561198185094241,149,59716
76561199390536636,1,554
76561199186538110,6,60520
76561199506373275,14,3311
76561199232442700,9,8774
76561199011043859,88,3308
76561199222310452,16,5096
76561199134623415,29,3276
76561199440667340,6,4713
76561198204591911,337,21697
76561199179815910,32,536
76561199446622877,3,7075
76561199429480861,224,2827
76561198049427860,11,7641
76561199097460546,14,2557
76561199218119032,5,6531
76561198924857798,41,19064
76561199206002040,41,4749
76561199087338998,17,9427
76561199446562204,6,2566
76561199001337658,10,6263
76561198870689411,85,1772
76561199529682961,2,4694
76561199105268581,1,1870
76561199159908152,50,4387
76561199119116382,14,3134
76561198890342219,79,3230
76561199387858528,13,5015
76561199101158194,26,516
76561198132915888,781,14199
76561199019790480,36,5585
76561199168002085,54,10829
76561199014795431,42,1916
76561199518546650,2,8309
76561198399969010,85,6294
76561198428623421,21,7386
76561199158558381,82,30938
76561198258033726,12,12972
76561198285051161,38,60349
76561198971094412,6,10726
76561198138089035,80,7233
76561199052518942,18,3824
76561199165864030,11,300
76561198982497940,34,17211
76561198230302484,20,8303
76561199234817058,29,4044
76561199106304728,12,8344
76561198799403353,107,4045
76561199234027781,12,2650
76561199054122392,52,10419
76561198353259666,55,1047
76561198969236537,11,1997
76561199071397290,7,2129
76561199072372868,9,5955
76561198799734305,18,8944
76561199421255218,1,211485
76561199055147516,4,4652
76561199493039631,7,723
76561198415294008,14,21175
76561199186426296,23,35756
76561198389797541,10,10
76561199237630541,3,671
76561199161037242,31,811
76561199002941538,12,14500
76561198284893123,54,264595
76561198071321756,43,4683
76561199228338589,15,7751
76561199088448302,14,219
76561199509269518,12,12
76561199069704831,1,6165
76561198877907330,5,496
76561199138261747,32,6475
76561198355279870,248,39147
76561199281660543,1,1522
76561199195487244,21,1276
76561198358129351,31,12672
76561199238425933,33,4139
76561199116319126,57,882
76561199446526974,1,2908
76561199314382158,7,3658
76561198141010339,76,29386
76561199003121108,24,3819
76561198290826962,53,20344
76561198891777801,141,549
76561198995547995,99,27285
76561198847078983,30,1922
76561199558218412,1,3269
76561198372780011,70,1246
76561199203150287,21,5068
76561199001741769,47,2220
76561199221589550,21,5139
76561199365851599,3,3379
76561198006998208,5,804
76561199115968768,0,9392
76561199092578824,51,3713
76561198989153366,13,1436
76561199016332421,17,2284
76561199191712979,8,15949
76561198399821934,61,44786
76561199244821743,23,914
76561198336298047,3,4639
76561199217968116,13,2763
76561198982379202,44,13192
76561198040226079,259,10026
76561199232154262,29,18243
76561199227272504,16,2874
76561198981258000,37,949
76561199438111247,9,3472
76561199003094780,17,10178
76561199247330160,5,1227
76561199237882264,4,1243
76561199168381849,76,9877
76561199190217515,78,501
76561199495794554,3,1328
76561199095735138,7,10003
76561198895908836,18,1124
76561199442541265,8,2570
76561198821599167,73,4197
76561198408293648,4,3434
76561198876688622,11,620
76561199210944267,11,1146
76561198970576225,48,393
76561199205939599,31,16601
76561199071894847,61,3051
76561198347371385,36,586
76561198926010372,34,15326
76561199114882755,45,692
76561197960299031,81,15751
76561199267333536,41,1585
76561198926030524,9,2707
76561199383349157,5,6640
76561199112742073,47,912
76561198824612949,8,16249
76561199238030657,5,1988
76561199054961427,14,2302
76561198200063241,127,328
76561198975749344,27,2955
76561199045188736,10,7386
76561198156384422,331,17741
76561199183232348,23,2030
76561198060327217,19,1720
76561199384070358,10,4912
76561198085276826,372,27375
76561198118764208,211,5342
76561199214284971,5,12655
76561199465301779,3,5755
76561199060607288,10,43148
76561199072799606,12,2344
76561198403312950,100,41625
76561199231220352,9,2170
76561199195564520,1,3949
76561198246593626,25,123
76561199237830280,8,1087
76561199052604511,17,3388
76561199386870339,4,4741
76561199126033347,0,2411
76561199241216114,2,8845
76561198009965591,885,9808
76561198152207216,63,582
76561199242327285,21,5531
76561198867904000,1,4350
76561198266580525,3,4198
76561198207444991,69,12623
76561199170823257,46,613
76561198005762699,115,8930
76561199246010856,4,911
76561199522258667,2,6090
76561199067487337,545,812
76561199436860854,9,4404
76561199499725072,13,13732
76561197984288683,143,2160
76561198125874471,94,42525
76561199075074459,6,5657
76561199172841202,4,220
76561199441589310,24,25754
76561199245615730,26,10664
76561199210797780,0,2407
76561199056665416,1,1341
76561199512344072,8,441
76561199002892556,12,2912
76561198843204412,4,1136
76561198978111447,8,95500
76561199086782199,17,57816
76561199180035859,125,2582
76561198143578719,670,790
76561199138536889,8,12440
76561198818877029,27,450
76561199075880870,61,5906
76561198272861391,40,5557
76561199079273224,7,471
76561199159932921,1,10307
76561198016410479,52,1385
76561198092542997,175,27225
76561198992435037,32,26645
76561199175672923,16,3705
76561199010629631,32,12846
76561199109625764,76,5704
76561199079834543,9,8044
76561199071383019,25,8206
76561198306139686,82,2474
76561198058206565,26,8715
76561198937237312,40,657
76561199060216927,28,5236
76561199393271782,37,4178
76561197991020782,131,71892
76561199123949128,93,573
76561198111309587,51,5478
76561199243139723,39,1472
76561199198532516,3,16538
76561198322464139,190,4199
76561199249054775,41,407
76561198044003042,1,732
76561199278593186,4,503
76561199191469248,9,3427
76561198958993346,20,645
76561198302100663,48,19693
76561199238520298,26,2715
76561197981504756,40,3395
76561199203374120,13,1654
76561199490512274,38,166
76561198358671113,265,54617
76561198114236328,19,12481
76561198846099536,54,1659
76561199244483930,21,5065
76561198387174652,52,2744
76561199122217970,62,1802
76561199082215948,1,4868
76561199237553066,15,1662
76561199143702053,54,7410
76561198995700053,21,612
76561199182633211,19,1439
76561198429793952,187,55756
76561198210215009,16,19527
76561198062762846,37,21589
76561199031156850,52,28337
76561198173958047,75,4690
76561198443388195,185,24528
76561199260907677,23,1480
76561198160671822,4,481
76561198870226898,13,18412
76561198051649548,125,6774
76561199012000185,122,16324
76561199379982412,1938,1726
76561199442674548,6,13466
76561198101023397,140,1084
76561198840839008,9,1269
76561199148681319,7,2837
76561199065103200,42,5522
76561199177082600,62,1404
76561199214801613,6,721
76561198413839133,90,28192
76561198371975069,40,543
76561198262029003,7,18589
76561199004663339,11,826
76561198828570681,92,2342
76561198084794621,64,21877
76561199071798633,38,10742
76561199155450485,19,7871
76561199242829990,2,31498
76561198812579488,39,41361
76561199386338842,13,1126
76561199001078345,65,2282
76561198864957888,41,3281
76561198085902859,61,4828
76561199199983653,43,3233
76561199048374870,10,2780
76561198894808611,119,3290
76561198843726680,59,2447
76561199230956102,10,12421
76561198176709837,85,98767
76561198800795227,48,9607
76561199112923068,7,2296
76561199175562199,10,6122
76561199091331968,4,5612
76561199180313731,48,14304
76561197968644006,92,1002
76561198048141038,118,294
76561198834948592,64,3624
76561199559291768,2,69
76561199514680411,13,407
76561198045343491,380,13858
76561199093937325,25,9551
76561199161855438,3,7841
76561199132590186,38,21286
76561198853015560,61,3083
76561198841809227,19,25987
76561199546114920,1,2422
76561199418241516,30,14036
76561199103390480,7,1682
76561199090109206,7,938
76561199104226405,18,1940
76561199112726832,97,30007
76561199157096913,35,6102
76561198148509472,114,372
76561199198353151,18,2154
76561199216754201,14,3282
76561198957651042,9,2476
76561199043116200,21,7320
76561199242349582,27,4868
76561199076712753,40,4611
76561199365501397,4,2086
76561199351389499,4,4067
76561199524373084,74,4438
76561198172822230,68,4350
76561198881376444,20,29179
76561199117352416,6,4335
76561199069590515,20,21862
76561199198201809,6,1811
76561199140058249,13,12099
76561198305722028,208,30583
76561198834900220,132,11055
76561198197909009,174,9683
76561198968717212,35,947
76561199320553119,14,5057
76561199128576491,17,1833
76561199108979085,65,698
76561198067755671,182,19753
76561198179723801,93,10268
76561199406917422,46,2075
76561199465910987,31,2001
76561198913423572,7,1147
76561198325156787,21,3183
76561198866189183,73,5251
76561197962146379,241,5306
76561199169265087,39,4743
76561199117883784,42,6491
76561198163112415,109,12976
76561199047664538,20,1567
76561199543567913,4,1649
76561198322514897,110,662
76561198079620511,63,26322
76561199200316554,17,19896
76561199542775580,0,1179
76561199183102965,100,6188
76561199067620176,118,23588
76561199487519899,8,3932
76561199073098644,60,33055
76561199492013608,1,1519
76561199348879747,258,3014
76561198401918557,22,3414
76561198980709785,22,1586
76561198073872603,230,38329
76561198039001751,408,5808
76561198799297914,19,8700
76561199122383677,15,909
76561198386483069,11,16784
76561198986201242,34,1650
76561198141271874,115,61207
76561199230169094,7,9544
76561199196076225,20,5813
76561198958013706,8,3266
76561199415223035,30,882
76561199469021038,0,3241
76561199380754601,6,150
76561198875446887,20,1095
76561199151373644,13,25133
76561199236308956,6,8308
76561198337315008,45,1429
76561198286801084,128,34260
76561199287105515,10,8712
76561199270148090,18,29030
76561199334573896,28,2314
76561199390397906,34,4551
76561198389230659,98,2559
76561199212851386,6,14483
76561199096597700,67,2879
76561198372816267,729,399
76561198874127806,75,45861
76561199223672439,4,207
76561199553028058,1,5413
76561199182222475,21,8226
76561197996227617,1075,3726
76561199234337916,10,9056
76561198917906872,4,13071
