name,defaultvalue,displayName,hidden,icon,icongray,description,player_count
ACH43,0,Stick Up Kid,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/b29dcae389bceec382778acd0d9c390ccab958c0.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/e0b8b3bd7c4bee54b6ff527c38be5cf47ff58cae.jpg,GTA Online: Hold up all 20 Stores.,434
ACH45,0,Enjoy Your Stay,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/5e7ba01afcc348fe212d5dd19cfa98821094741e.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/4fe5369a2ca0d59aa38bb1b62f0ccb2a5e97eccd.jpg,GTA Online: Participate in everything Los Santos has to offer.,280
ACH46,0,Crew Cut,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/85d425dd52b6a7fdd9cbd50dc31ccd081f96e51f.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/db8f970a2ce9ca7e53d6c102ea402cd44b46b131.jpg,GTA Online: Complete a Job as a member of a Crew.,703
ACH47,0,Full Refund,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/d801e9d82548e8f7688b734be74e4fb312e85d6e.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/35c654175350b50607c7e13a7033e675cefcf23f.jpg,GTA Online: Kill the thief that mugged you.,415
ACH48,0,Dialling Digits,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/67b9c2b69c84a31c7859f63f713351c32870fc94.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/fa012a9b76b9ed46a2a3868f7d04cc76b2e43916.jpg,GTA Online: Call for a Backup Helicopter for the first time.,554
ACH49,0,American Dream,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/8e98bdaab6e81470b263b2a7cf3a50fede8b090f.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/b2bcb3c0edb7b6e654c4be0da043eca68b53d198.jpg,"GTA Online: Own an Apartment, Garage and an Insured Vehicle.",1489
ACH51,0,A New Perspective,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/1451e338312b4560ee10299c4c1bee82acedfdae.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/9f79320fa5e38e952e3d601ef1219d4e50d5969b.jpg,Play GTA V for 15 hours in first person mode.,472
ACHH1,0,Be Prepared,1,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/3cbdd1df8fa8e0d6722dc7d169ab1d5226e1b06a.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/9cc798f8cef4ac82617ea931288ce9f88650cfcc.jpg,,1170
ACHH2,0,In the Name of Science,1,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/b4f299906c51ac23f4435fd79a0838f5a8da2de9.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/1b526f32c97488da455eccb753a5fd3ee1028e5a.jpg,,471
ACHH3,0,Dead Presidents,1,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/86563b454d24b90b8ad90d504600e2b380b41fb3.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/f7eff2888e3c7043216d0e431def8b7908f43549.jpg,,468
ACHH4,0,Parole Day,1,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/08cecf54a1e7b0083f5ac85f3191319de848eb94.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/7316d93dae6f8c6edeffba29464409d4dd076970.jpg,,660
ACHH5,0,Shot Caller,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/236084e0509e5e4405354f483e1766be81496164.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/d685a5d5adf09b949de0be30012294df3dea206b.jpg,GTA Online: Invest your hard earned cash to set up a Heist.,665
ACHH6,0,Four Way,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/7c3cbf94732270cb2416720b431f997d45321f52.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/cd02d52318c79d538fc6fa90fc91d3cf0484730b.jpg,GTA Online: As Heist Leader set the Finale cut as 25% across all players.,372
ACHH7,0,Live a Little,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/1a8291d1d857e0b02156ecad663005bc317c5b74.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/694d3b57d21340c400d8fdd7ba79857d9d8a6d2f.jpg,"GTA Online: Spend a total of $8,000,000 purchasing vehicles included as part of The Heists Update.",377
ACHH8,0,Can't Touch This,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/fe1fb0fe8c53250e1f65ee807a4018d8206ce994.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/2964bd81a021c7227a2c56a3cd41ed043e4f26c0.jpg,GTA Online: Complete a Heist Finale without taking any damage.,628
ACHH10,0,Mastermind,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/149b53d6bbae5c052ef39f770269e1b8b6a1b307.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/6782a63728ecc2ca9baced8e1cc8ac60ba7072be.jpg,GTA Online: Earn 25 platinum medals across Heist Setups and Finales.,240
ACHH11,0,Vinewood Visionary,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/10ae315b115e68ff2d536cb2e168379d3af62088.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/1c5f245855d6f5ae2e83fde22a9287c41ec791fa.jpg,Create and upload a video using the Rockstar Editor.,166
ACHR2,0,Majestic,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/61caf984c785f973ce7355150196ddac960eeeec.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/165383ef81b94c2c7504e575f3269efd008d6322.jpg,Create and export 10 videos using the Rockstar Editor.,171
ACHR3,0,Humans of Los Santos,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/f2458dc04c2ad09fe3074aa103e7ad522a7d4da0.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/42bb58a43f2ebdb0852c55cde430a5d1841fb9e9.jpg,Unlock all Special Characters and entered Director Mode as an actor from this category.,159
ACHR4,0,First Time Director,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/6b77a60c0ad267e01c50e3dd3cb6a1780b96aab1.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/5b60c8eef2738e9c7829cf4eef00d9748b68ddbe.jpg,Enter Director Mode for the first time as an unlocked actor.,468
ACHR5,0,Animal Lover,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/8dd7f3a1eed921a7a6c45aaf976ec1c2b937fc8a.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/fc7a27e55dfaa177fbcf2e8d791d96bf9f361c60.jpg,Enter Director Mode as an unlocked animal actor for the first time.,183
ACHR6,0,Ensemble Piece,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/219d31e229a227b50e6988a40e488da5293f4066.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/e8a31a783d8d978699300872f340cbf7e8eac132.jpg,Unlock all Story Characters and enter Director Mode as an actor from this category.,175
ACHR7,0,Cult Movie,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/e27a0ebc1c9147ad8530c554fb3e83ac41c0bea4.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/4e72ef5c3d7ac8fcd6be074235942d4635b0d540.jpg,Enter Director Mode as Cris Formage.,168
ACHR8,0,Location Scout,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/178d5b522a94e4f6d412cb62f061ff9cabcb17e7.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/79b3f7f770d3b41e8a18de85c32e69a967f59889.jpg,Visit all Locations in Director Mode.,169
ACHR9,0,Method Actor,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/b6cc0d91927c66b9e5cfcd77256762165fdede5d.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/e0cee5b0a1d7208c53c132543d59554a2dd48da6.jpg,Enter Director Mode using any of your own GTA Online characters.,292
ACHR10,0,Cryptozoologist,1,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/30b05e2201bdb0b071d6aac757931250159be78e.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/03cfa9767edcd5db249666f35994dbf48a9653ac.jpg,,164
ACHGO1,0,Getting Started,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/731452f85ffef7611afc1e4d315a303e972719ed.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/731452f85ffef7611afc1e4d315a303e972719ed.jpg,GTA Online: You set up the Doomsday Heist.,420
ACHGO2,0,The Data Breaches,1,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/cf78bbf1b2fe0336f80a1194eca6265fdffc8b3d.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/cf78bbf1b2fe0336f80a1194eca6265fdffc8b3d.jpg,,465
ACHGO3,0,The Bogdan Problem,1,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/f9fdfdc7fb3a70085028eb0ba69307f505825997.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/f9fdfdc7fb3a70085028eb0ba69307f505825997.jpg,,391
ACHGO4,0,The Doomsday Scenario,1,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/303adf2e59a679077939db56e48e3c987f8480c4.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/303adf2e59a679077939db56e48e3c987f8480c4.jpg,,339
ACHGO5,0,A World Worth Saving,1,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/11253835d87882171207aac013fcf183e02d3a34.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/11253835d87882171207aac013fcf183e02d3a34.jpg,,288
ACHGO6,0,Orbital Obliteration,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/6bffdfe83f02e8862cc116958a943adeeaf247aa.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/6bffdfe83f02e8862cc116958a943adeeaf247aa.jpg,GTA Online: You killed another player with the Orbital Cannon.,291
ACHGO7,0,Elitist,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/383db594e55add24639eceaab4df49e376dc5636.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/383db594e55add24639eceaab4df49e376dc5636.jpg,GTA Online: You completed all 3 Elite Challenges in The Doomsday Heist.,154
ACHGO8,0,Masterminds,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/153df09e41c6c2b9ddf86028f79f7eaee1ea76c2.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/153df09e41c6c2b9ddf86028f79f7eaee1ea76c2.jpg,GTA Online: You completed all 3 Criminal Mastermind Challenges in The Doomsday Heist.,149
