appid,genres
1289310,"adventure, free to play, indie"
1342260,action
1449850,"simulation, strategy, free to play"
1509960,"action, casual, indie"
976310,action
1685750,action
1782210,"action, casual, free to play, indie, racing"
1446780,action
1498570,action
1943950,"indie, early access"
1967430,"action, adventure"
1364780,"action, adventure"
1902690,"action, rpg"
240,action
4760,strategy
12810,rpg
10180,action
10190,action
24780,"simulation, strategy"
8930,strategy
70110,"indie, simulation"
42710,action
21130,"action, adventure"
40800,indie
39120,"action, adventure, massively multiplayer, rpg, free to play"
44320,
42680,action
42690,
28050,
113200,"action, adventure, indie, rpg"
201870,"action, adventure"
72850,rpg
204030,"action, adventure, rpg"
207690,"adventure, casual, indie"
211580,"action, adventure, indie, rpg"
208140,strategy
201790,"action, adventure, indie, rpg, strategy"
204300,"action, free to play, indie, strategy"
220780,indie
220860,"action, adventure, indie"
49520,"action, rpg"
200710,"action, adventure, indie, rpg"
202990,action
214510,"action, adventure"
35480,"casual, indie, strategy"
204080,
201230,"free to play, massively multiplayer, rpg"
212070,"action, massively multiplayer, simulation, free to play"
212500,"action, adventure, free to play, massively multiplayer, rpg"
238960,"action, adventure, indie, massively multiplayer, rpg, free to play"
34870,action
232010,"indie, simulation"
227680,
226700,"action, free to play, indie, massively multiplayer, rpg"
234710,"casual, sports"
222730,"indie, simulation, strategy"
91310,
216250,
239030,"adventure, indie"
209170,action
257050,"action, adventure, indie"
219990,"action, adventure, indie, rpg"
230070,"indie, rpg"
264710,"adventure, indie"
227300,"indie, simulation"
211820,"action, adventure, casual, indie, rpg"
221100,"action, adventure, massively multiplayer"
267940,"action, racing"
213670,"action, adventure, rpg"
285580,"action, free to play, indie, sports, strategy, early access"
236430,"action, rpg"
222900,
300380,"action, adventure, indie, racing, simulation"
306410,"casual, indie"
9900,"massively multiplayer, rpg, free to play"
312960,"action, indie, strategy"
226320,
261640,"action, rpg"
329110,"action, adventure, casual, rpg, strategy, free to play"
250900,action
341640,"adventure, indie, rpg, simulation, strategy"
343360,"casual, indie, strategy"
346110,"action, adventure, indie, massively multiplayer, rpg"
346900,"casual, free to play, indie"
346940,"adventure, indie, rpg, strategy"
350080,action
359320,"action, adventure, massively multiplayer, rpg, simulation, strategy"
363970,"adventure, casual, free to play, indie, rpg, simulation, strategy"
386360,"action, adventure, casual, massively multiplayer, rpg, strategy, free to play"
387290,action
393530,"adventure, casual, free to play, indie, rpg, simulation, strategy"
65980,strategy
409710,"action, rpg"
414530,"free to play, massively multiplayer, rpg"
375910,"simulation, strategy"
424370,"action, adventure, indie, rpg"
427520,"casual, indie, simulation, strategy"
433340,"action, adventure, indie, simulation"
438100,"adventure, casual, massively multiplayer, simulation, sports, free to play, early access"
295110,"action, adventure, massively multiplayer"
448280,simulation
450390,free to play
452780,
310380,
526870,"adventure, indie, simulation, strategy, early access"
552440,"action, adventure, indie"
8500,"action, massively multiplayer, rpg, strategy, free to play"
583010,utilities
212740,"action, adventure, free to play, massively multiplayer, rpg"
588430,"rpg, simulation, free to play"
355790,"action, adventure"
607050,"indie, strategy"
627690,"action, adventure, indie, strategy, free to play"
629910,"action, adventure, casual, indie, rpg, simulation, strategy, early access"
646570,"indie, strategy"
648800,"adventure, indie, simulation"
666860,"adventure, free to play, massively multiplayer, rpg"
736260,indie
751780,"action, adventure, indie, simulation"
795100,"casual, free to play, indie, strategy"
488790,rpg
799600,"simulation, strategy, early access"
812140,"action, adventure, rpg"
813820,"action, free to play, early access"
24200,"action, adventure, massively multiplayer, rpg, free to play"
844380,"action, adventure, simulation"
829110,"action, adventure"
346750,"casual, free to play, rpg, simulation"
960090,strategy
978520,"rpg, strategy"
979120,"casual, indie, simulation"
982270,"casual, indie, simulation"
990080,"action, adventure, rpg"
992070,"casual, free to play"
1013320,"action, adventure, casual, free to play, indie, massively multiplayer, rpg, simulation, strategy, early access"
1017100,"free to play, indie, strategy"
1048370,"casual, free to play, indie, simulation"
1061090,"action, adventure, indie"
1063730,"action, adventure, massively multiplayer, rpg"
761890,"massively multiplayer, rpg, free to play"
1102190,strategy
1128810,"casual, free to play, strategy"
1147690,"adventure, indie, simulation, free to play"
1161580,simulation
1210320,"indie, simulation"
1218500,"action, adventure, indie, simulation"
1250790,"casual, free to play, indie, simulation, strategy"
1267910,"adventure, casual, indie, rpg"
1282730,"indie, rpg, strategy"
1286830,"massively multiplayer, rpg, free to play"
1296610,"casual, indie, rpg, strategy, early access"
1318690,"casual, indie, simulation, strategy"
1343400,"free to play, massively multiplayer, rpg"
1366540,"indie, simulation, strategy, early access"
1371630,"casual, free to play, indie, rpg"
1397920,"adventure, casual, indie, rpg, simulation, strategy, free to play"
1426210,"action, adventure"
1449690,adventure
1454400,"casual, indie, simulation, strategy"
1455840,"casual, indie, simulation, strategy"
1476970,"casual, indie, massively multiplayer, rpg, simulation, free to play, early access"
1482860,"adventure, casual, free to play, indie, simulation, strategy, early access"
616560,"action, adventure, indie, simulation, strategy"
1546320,"rpg, free to play"
1583230,"action, adventure"
1604030,"action, adventure, massively multiplayer, early access"
1657630,"action, adventure, casual, indie, simulation, early access"
1794680,"action, casual, indie, rpg"
571310,"action, adventure, indie"
1877960,"casual, free to play, indie, strategy"
1599340,"action, adventure, massively multiplayer, rpg, free to play"
1942280,"action, casual, indie, rpg"
1997040,"casual, strategy, free to play"
1562430,"adventure, rpg"
107410,"action, simulation, strategy"
249130,"action, adventure"
271590,"action, adventure"
246620,"casual, indie, simulation, strategy"
321360,"action, indie"
407530,"action, adventure, indie, massively multiplayer, rpg, strategy"
352400,"action, adventure"
424840,adventure
674020,"action, free to play"
677620,"action, free to play, indie"
608990,"casual, indie, simulation, strategy, early access"
252490,"action, adventure, indie, massively multiplayer, rpg"
552520,"action, adventure"
945360,casual
1091500,rpg
703080,"casual, simulation, strategy"
1097150,"action, casual, indie, massively multiplayer, sports"
1172380,"action, adventure"
359550,action
1244460,"simulation, strategy"
1237950,"action, adventure"
1245620,"action, rpg"
1332010,"adventure, indie"
1817070,"action, adventure, casual"
1840,"animation & modeling, video production"
nan,
3320,casual
4000,"casual, indie, simulation"
12120,action
22300,rpg
33900,"action, simulation, strategy"
33930,"action, simulation, strategy"
219540,
22380,"action, rpg"
96100,"action, casual, indie"
211420,"action, rpg"
209080,"action, adventure, indie, simulation"
219640,"action, indie"
109600,"action, adventure, free to play, massively multiplayer, rpg"
113420,"free to play, massively multiplayer, rpg"
200210,"action, free to play, indie, massively multiplayer, rpg"
212160,"action, adventure, free to play, massively multiplayer, rpg"
218230,"action, free to play, massively multiplayer"
243870,free to play
223710,"action, adventure, indie"
248570,"action, free to play, indie, strategy"
42160,
224260,"action, indie, free to play"
239220,
224580,"action, simulation, strategy"
233740,"indie, strategy"
233860,"action, indie, rpg, simulation, strategy"
233450,"indie, simulation, strategy"
242920,"indie, simulation, strategy"
239070,"action, adventure, indie, rpg"
700580,
252950,"action, indie, racing, sports"
264140,"adventure, indie, rpg, simulation"
249050,"adventure, indie, rpg, strategy"
268750,"action, adventure, indie, rpg"
273110,"action, casual, massively multiplayer, free to play"
290730,"casual, free to play, indie, massively multiplayer, strategy"
270550,"action, casual, indie, strategy"
293780,"action, indie, rpg"
286160,"casual, indie, rpg, simulation, strategy"
433850,"action, adventure, free to play, massively multiplayer"
